,Date,Ticker,Close,Sector,Close_z
0,2024-01-02,AAPL,185.63999938964844,Information Technology,-1.0421294545902864
1,2024-01-03,AAPL,184.25,Information Technology,-1.0996343971653444
2,2024-01-04,AAPL,181.91000366210935,Information Technology,-1.196441169915282
3,2024-01-05,AAPL,181.17999267578125,Information Technology,-1.2266420751535039
4,2024-01-08,AAPL,185.55999755859372,Information Technology,-1.0454391687779052
5,2024-01-09,AAPL,185.13999938964844,Information Technology,-1.0628146948153208
6,2024-01-10,AAPL,186.19000244140625,Information Technology,-1.0193755640900617
7,2024-01-11,AAPL,185.58999633789065,Information Technology,-1.0441981048654756
8,2024-01-12,AAPL,185.9199981689453,Information Technology,-1.030545770565342
9,2024-01-16,AAPL,183.6300048828125,Information Technology,-1.125283893040088
10,2024-01-17,AAPL,182.67999267578125,Information Technology,-1.1645863544784008
11,2024-01-18,AAPL,188.6300048828125,Information Technology,-0.9184314907897446
12,2024-01-19,AAPL,191.55999755859372,Information Technology,-0.7972162860774932
13,2024-01-22,AAPL,193.88999938964844,Information Technology,-0.7008229908772199
14,2024-01-23,AAPL,195.17999267578125,Information Technology,-0.6474553488525425
15,2024-01-24,AAPL,194.5,Information Technology,-0.6755869725521406
16,2024-01-25,AAPL,194.1699981689453,Information Technology,-0.6892393068522754
17,2024-01-26,AAPL,192.4199981689453,Information Technology,-0.7616376476398956
18,2024-01-29,AAPL,191.72999572753903,Information Technology,-0.7901833801525937
19,2024-01-30,AAPL,188.0399932861328,Information Technology,-0.9428405540154954
20,2024-01-31,AAPL,184.3999938964844,Information Technology,-1.0934290776032067
21,2024-02-01,AAPL,186.8600006103516,Information Technology,-0.9916574179401266
22,2024-02-02,AAPL,185.8500061035156,Information Technology,-1.033441375939862
23,2024-02-05,AAPL,187.67999267578125,Information Technology,-0.9577339522280576
24,2024-02-06,AAPL,189.3000030517578,Information Technology,-0.8907133446398108
25,2024-02-07,AAPL,189.41000366210935,Information Technology,-0.886162566539767
26,2024-02-08,AAPL,188.32000732421875,Information Technology,-0.9312562387271164
27,2024-02-09,AAPL,188.8500061035156,Information Technology,-0.9093299345896559
28,2024-02-12,AAPL,187.1499938964844,Information Technology,-0.979660256365518
29,2024-02-13,AAPL,185.0399932861328,Information Technology,-1.0669519953657014
30,2024-02-14,AAPL,184.1499938964844,Information Technology,-1.103771697715724
31,2024-02-15,AAPL,183.8600006103516,Information Technology,-1.1157688592903325
32,2024-02-16,AAPL,182.30999755859372,Information Technology,-1.1798932302406284
33,2024-02-20,AAPL,181.55999755859372,Information Technology,-1.2109210905781798
34,2024-02-21,AAPL,182.32000732421875,Information Technology,-1.1794791214275284
35,2024-02-22,AAPL,184.3699951171875,Information Technology,-1.0946701415156352
36,2024-02-23,AAPL,182.5200042724609,Information Technology,-1.1712051515902027
37,2024-02-26,AAPL,181.16000366210935,Information Technology,-1.2274690302528335
38,2024-02-27,AAPL,182.6300048828125,Information Technology,-1.1666543734901567
39,2024-02-28,AAPL,181.4199981689453,Information Technology,-1.216712932590651
40,2024-02-29,AAPL,180.75,Information Technology,-1.2444310787405848
